start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month_d1,sunset_time,hours_after_sunset_d1,season,date_d1,key_time,time,month_d2,hours_after_sunset_d2,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,date_d2,merge_time,hours_after_sunset,rat_influence,risk_reward_ratio,season_0_x_rat_arrival,season_1_x_rat_arrival,rat_influence_log,risk_reward_ratio_log
,,,,,,,,,,,0,,2017-12-28 16:14:00,2017-12-28 16:14:00,0,-0.5,8.0,4.0,0.0,0.0,12/28/2017,2017-12-28 16:14:00,-0.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 16:44:00,2017-12-28 16:44:00,0,0.0,3.0,4.0,0.0,0.0,12/28/2017,2017-12-28 16:44:00,0.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 17:14:00,2017-12-28 17:14:00,0,0.5,24.0,4.0,0.0,0.0,12/28/2017,2017-12-28 17:14:00,0.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 17:44:00,2017-12-28 17:44:00,0,1.0,23.0,4.0,0.0,0.0,12/28/2017,2017-12-28 17:44:00,1.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 18:14:00,2017-12-28 18:14:00,0,1.5,48.0,4.0,0.0,0.0,12/28/2017,2017-12-28 18:14:00,1.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 18:44:00,2017-12-28 18:44:00,0,2.0,55.0,3.962648557,0.0,0.0,12/28/2017,2017-12-28 18:44:00,2.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 19:14:00,2017-12-28 19:14:00,0,2.5,23.0,3.543859649,0.5104166668750001,1.0,12/28/2017,2017-12-28 19:14:00,2.5,8.1,0.43751353691358025,1.0,0.0,2.2082744135228043,0.3629149106283891
2017-12-28 19:36:00,1.0,fast,2017-12-28 19:35:00,2017-12-28 19:46:00,14.0,0.0,1.0,0,2017-12-28 16:44:00,3.0,0,12/28/2017,2017-12-28 19:36:00,,,,,,,,,2017-12-28 19:36:00,,0.0,,0.0,0.0,0.0,
2017-12-28 19:36:00,2.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,40.0,1.0,0.0,0,2017-12-28 16:44:00,3.0,0,12/28/2017,2017-12-28 19:36:00,,,,,,,,,2017-12-28 19:36:00,,0.0,,0.0,0.0,0.0,
2017-12-28 19:37:00,26.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,68.0,1.0,0.0,0,2017-12-28 16:44:00,3.0,0,12/28/2017,2017-12-28 19:37:00,,,,,,,,,2017-12-28 19:37:00,,0.0,,0.0,0.0,0.0,
