start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,date
2018-02-08 01:47:00,8.0,rat_attack,8/02/2018 1:47,8/02/2018 1:48,7,1,0,2,7/02/2018 17:19,8.5,0,2018-02-08
2018-02-08 01:52:00,1.0,fast,8/02/2018 1:52,8/02/2018 1:52,2,0,1,2,7/02/2018 17:19,8.5,0,2018-02-08
2018-02-08 02:06:00,6.0,rat,8/02/2018 2:05,8/02/2018 2:09,74,1,0,2,7/02/2018 17:19,9.0,0,2018-02-08
2018-02-08 02:06:00,1.0,rat,8/02/2018 2:05,8/02/2018 2:09,80,1,0,2,7/02/2018 17:19,9.0,0,2018-02-08
2018-02-08 02:07:00,7.0,rat,8/02/2018 2:05,8/02/2018 2:09,99,1,0,2,7/02/2018 17:19,9.0,0,2018-02-08
2018-02-08 02:07:00,4.0,rat,8/02/2018 2:05,8/02/2018 2:09,116,1,0,2,7/02/2018 17:19,9.0,0,2018-02-08
2018-02-08 02:08:00,4.0,rat,8/02/2018 2:05,8/02/2018 2:09,200,1,0,2,7/02/2018 17:19,9.0,0,2018-02-08
2018-02-08 03:41:00,0.035867953,rat,8/02/2018 3:41,8/02/2018 3:45,27,1,0,2,7/02/2018 17:19,10.5,0,2018-02-08
2018-02-02 00:43:00,2.0,fast,2/02/2018 0:40,2/02/2018 0:44,184,0,1,2,1/02/2018 17:14,7.5,0,2018-02-02
2018-02-02 00:44:00,1.0,rat,2/02/2018 0:40,2/02/2018 0:44,239,1,0,2,1/02/2018 17:14,7.5,0,2018-02-02
2018-02-09 00:06:00,3.0,fast,9/02/2018 0:06,9/02/2018 0:06,2,0,1,2,8/02/2018 17:20,7.0,0,2018-02-09
2018-02-09 00:11:00,1.0,rat,9/02/2018 0:09,9/02/2018 0:13,135,1,0,2,8/02/2018 17:20,7.0,0,2018-02-09
2018-02-09 00:26:00,17.0,pick,9/02/2018 0:26,9/02/2018 0:32,2,0,1,2,8/02/2018 17:20,7.0,0,2018-02-09
2018-02-09 00:29:00,1.0,rat,9/02/2018 0:26,9/02/2018 0:32,154,1,0,2,8/02/2018 17:20,7.0,0,2018-02-09
