date,hours_after_sunset,risk,reward,bat_landing_to_food,seconds_after_rat_arrival,habit,food_availability,rat_arrival_number,bat_landing_number
2018-04-26,3.0,0,1,3.0,65,pick,3.0,2.0,79.0
2018-04-26,3.0,1,1,13.0,81,bat_and_pick,3.0,2.0,79.0
2018-04-26,3.0,1,1,14.0,81,bat_and_pick,3.0,2.0,79.0
2018-04-26,3.0,1,1,10.0,92,bat_and_pick,3.0,2.0,79.0
2018-04-26,3.0,1,0,7.0,126,bat_and_rat,3.0,2.0,79.0
2018-04-26,3.0,0,1,3.0,202,pick,3.0,2.0,79.0
2018-04-26,3.0,0,1,1.0,215,fast,3.0,2.0,79.0
2018-04-26,3.0,1,0,23.0,274,bat,3.0,2.0,79.0
2018-04-26,3.0,0,1,4.0,318,pick,3.0,2.0,79.0
2018-04-26,3.0,1,1,5.0,322,pick_and_bat,3.0,2.0,79.0
2018-04-26,3.0,0,1,3.0,326,fast,3.0,2.0,79.0
2018-04-26,3.0,0,1,2.0,340,fast,3.0,2.0,79.0
2018-04-26,3.0,1,1,55.0,343,bat_and_pick,3.0,2.0,79.0
2018-04-26,3.5,0,1,3.0,392,fast,3.0,1.0,62.0
2018-04-26,3.5,1,0,2.0,594,bat_fight,3.0,1.0,62.0
2018-04-26,3.5,1,0,2.0,602,bat_fight,3.0,1.0,62.0
2018-04-26,3.5,1,0,1.0,613,rat,3.0,1.0,62.0
2018-04-26,3.5,1,1,18.0,635,pick_and_others,3.0,1.0,62.0
2018-04-26,4.0,0,1,0.028315379,22,fast,3.0,0.0,57.0
2018-04-26,4.0,1,1,6.0,37,pick_and_bat,3.0,0.0,57.0
2018-04-26,4.0,1,0,9.0,46,bat,3.0,0.0,57.0
2018-04-26,4.0,0,1,2.0,87,fast,3.0,0.0,57.0
2018-04-26,4.0,0,1,8.0,96,pick,3.0,0.0,57.0
2018-04-26,4.0,0,1,6.0,110,pick,3.0,0.0,57.0
2018-04-26,4.0,0,1,6.0,273,pick,3.0,0.0,57.0
2018-04-26,4.0,0,1,0.039556377,283,fast,3.0,0.0,57.0
